product_id,product_name,quarter,region,units_sold,unit_price,revenue,cost,profit
P001,Widget Alpha,Q1,East,1560,29.99,46784.40,23200.00,23584.40
P002,Gadget Beta,Q1,East,1100,54.99,60489.00,35000.00,25489.00
P003,Device Gamma,Q1,East,2800,12.50,35000.00,17400.00,17600.00
P004,Tool Delta,Q1,East,560,89.99,50394.40,27500.00,22894.40
P005,Module Epsilon,Q1,East,4000,8.75,35000.00,17500.00,17500.00
P001,Widget Alpha,Q2,East,1720,29.99,51583.00,25200.00,26383.00
P002,Gadget Beta,Q2,East,1220,54.99,67087.80,38500.00,28587.80
P003,Device Gamma,Q2,East,3100,12.50,38750.00,19200.00,19550.00
P004,Tool Delta,Q2,East,620,89.99,55793.80,30000.00,25793.80
P005,Module Epsilon,Q2,East,4400,8.75,38500.00,19300.00,19200.00
P001,Widget Alpha,Q3,East,1900,29.99,56981.00,28000.00,28981.00
P002,Gadget Beta,Q3,East,1350,54.99,74236.50,42000.00,32236.50
P003,Device Gamma,Q3,East,3400,12.50,42500.00,21000.00,21500.00
P004,Tool Delta,Q3,East,690,89.99,62093.10,33500.00,28593.10
P005,Module Epsilon,Q3,East,4800,8.75,42000.00,21000.00,21000.00
P001,Widget Alpha,Q4,East,2100,29.99,62979.00,31000.00,31979.00
P002,Gadget Beta,Q4,East,1500,54.99,82485.00,46500.00,35985.00
P003,Device Gamma,Q4,East,3800,12.50,47500.00,23500.00,24000.00
P004,Tool Delta,Q4,East,780,89.99,70192.20,38000.00,32192.20
P005,Module Epsilon,Q4,East,5300,8.75,46375.00,23200.00,23175.00
