order_id,customer_id,product_id,quantity,unit_price,order_date,region
ORD-0001,CUST-101,PROD-A,3,49.99,2024-01-05,North
ORD-0002,CUST-102,PROD-B,1,199.99,2024-01-06,South
ORD-0003,CUST-103,PROD-A,5,49.99,2024-01-08,East
ORD-0004,CUST-104,PROD-C,2,89.99,2024-01-10,West
ORD-0005,CUST-105,PROD-B,3,199.99,2024-01-12,North
ORD-0006,CUST-101,PROD-C,1,89.99,2024-01-15,North
ORD-0007,CUST-106,PROD-A,7,49.99,2024-01-18,South
ORD-0008,CUST-107,PROD-B,2,199.99,2024-01-20,East
ORD-0009,CUST-102,PROD-A,4,49.99,2024-01-22,South
ORD-0010,CUST-108,PROD-C,3,89.99,2024-01-25,West
ORD-0011,CUST-109,PROD-B,1,199.99,2024-01-28,North
ORD-0012,CUST-110,PROD-A,6,49.99,2024-02-01,East
ORD-0013,CUST-103,PROD-C,2,89.99,2024-02-03,East
ORD-0014,CUST-104,PROD-B,4,199.99,2024-02-05,West
ORD-0015,CUST-111,PROD-A,2,49.99,2024-02-08,South
ORD-0016,CUST-112,PROD-C,5,89.99,2024-02-10,North
ORD-0017,CUST-105,PROD-A,3,49.99,2024-02-12,North
ORD-0018,CUST-113,PROD-B,2,199.99,2024-02-15,West
ORD-0019,CUST-106,PROD-C,1,89.99,2024-02-18,South
ORD-0020,CUST-114,PROD-A,8,49.99,2024-02-20,East
