session_id,user_id,page_url,referrer,device,country,session_start,session_duration_sec,page_views,bounce
SES-0001,USR-301,/home,google.com,desktop,USA,2024-02-01T10:00:00,245,4,false
SES-0002,USR-302,/pricing,direct,mobile,UK,2024-02-01T10:05:00,89,2,true
SES-0003,USR-303,/features,twitter.com,desktop,Canada,2024-02-01T10:12:00,410,7,false
SES-0004,USR-304,/home,google.com,tablet,Australia,2024-02-01T10:18:00,32,1,true
SES-0005,USR-305,/blog/ai-trends,linkedin.com,desktop,USA,2024-02-01T10:25:00,590,6,false
SES-0006,USR-301,/signup,/pricing,desktop,USA,2024-02-01T11:00:00,180,3,false
SES-0007,USR-306,/home,google.com,mobile,Germany,2024-02-01T11:15:00,55,1,true
SES-0008,USR-307,/docs,direct,desktop,USA,2024-02-01T11:30:00,720,12,false
SES-0009,USR-308,/pricing,google.com,desktop,France,2024-02-01T11:45:00,145,3,false
SES-0010,USR-309,/home,bing.com,mobile,USA,2024-02-01T12:00:00,28,1,true
SES-0011,USR-310,/features,google.com,desktop,India,2024-02-01T12:10:00,380,5,false
SES-0012,USR-302,/signup,/pricing,mobile,UK,2024-02-01T12:30:00,210,3,false
SES-0013,USR-311,/home,twitter.com,desktop,USA,2024-02-01T12:45:00,95,2,false
SES-0014,USR-312,/blog/getting-started,google.com,desktop,Brazil,2024-02-01T13:00:00,455,8,false
SES-0015,USR-313,/pricing,google.com,mobile,USA,2024-02-01T13:15:00,175,3,false
SES-0016,USR-305,/signup,/blog/ai-trends,desktop,USA,2024-02-01T13:30:00,290,4,false
SES-0017,USR-314,/home,direct,desktop,Japan,2024-02-01T13:45:00,420,6,false
SES-0018,USR-315,/features,google.com,mobile,USA,2024-02-01T14:00:00,65,2,true
SES-0019,USR-316,/docs,direct,desktop,UK,2024-02-01T14:15:00,880,15,false
SES-0020,USR-317,/home,google.com,tablet,Canada,2024-02-01T14:30:00,40,1,true
