timestamp,host,mem_total_gb,mem_used_gb,mem_free_gb,mem_usage_pct,swap_used_gb
2024-03-20T00:00:00,web-01,32.0,12.46,19.54,38.9,0.00
2024-03-20T00:00:00,web-02,32.0,11.06,20.94,34.6,0.00
2024-03-20T00:00:00,web-03,32.0,10.56,21.44,33.0,0.00
2024-03-20T00:05:00,web-01,32.0,12.08,19.92,37.8,0.00
2024-03-20T00:05:00,web-02,32.0,10.12,21.88,31.6,0.00
2024-03-20T00:05:00,web-03,32.0,9.17,22.83,28.6,0.00
2024-03-20T00:10:00,web-01,32.0,11.68,20.32,36.5,0.00
2024-03-20T00:10:00,web-02,32.0,10.14,21.86,31.7,0.00
2024-03-20T00:10:00,web-03,32.0,9.70,22.30,30.3,0.00
2024-03-20T00:15:00,web-01,32.0,12.35,19.65,38.6,0.00
2024-03-20T00:15:00,web-02,32.0,9.80,22.20,30.6,0.00
2024-03-20T00:15:00,web-03,32.0,9.61,22.39,30.0,0.00
2024-03-20T00:20:00,web-01,32.0,11.80,20.20,36.9,0.00
2024-03-20T00:20:00,web-02,32.0,10.19,21.81,31.8,0.00
2024-03-20T00:20:00,web-03,32.0,9.80,22.20,30.6,0.00
2024-03-20T00:25:00,web-01,32.0,11.75,20.25,36.7,0.00
2024-03-20T00:25:00,web-02,32.0,10.82,21.18,33.8,0.00
2024-03-20T00:25:00,web-03,32.0,11.02,20.98,34.4,0.00
2024-03-20T00:30:00,web-01,32.0,12.44,19.56,38.9,0.00
2024-03-20T00:30:00,web-02,32.0,9.50,22.50,29.7,0.00
2024-03-20T00:30:00,web-03,32.0,10.31,21.69,32.2,0.00
2024-03-20T00:35:00,web-01,32.0,12.89,19.11,40.3,0.00
2024-03-20T00:35:00,web-02,32.0,10.40,21.60,32.5,0.00
2024-03-20T00:35:00,web-03,32.0,9.45,22.55,29.5,0.00
2024-03-20T00:40:00,web-01,32.0,12.14,19.86,37.9,0.00
2024-03-20T00:40:00,web-02,32.0,10.66,21.34,33.3,0.00
2024-03-20T00:40:00,web-03,32.0,9.69,22.31,30.3,0.00
2024-03-20T00:45:00,web-01,32.0,11.87,20.13,37.1,0.00
2024-03-20T00:45:00,web-02,32.0,10.67,21.33,33.3,0.00
2024-03-20T00:45:00,web-03,32.0,9.75,22.25,30.5,0.00
2024-03-20T00:50:00,web-01,32.0,11.81,20.19,36.9,0.00
2024-03-20T00:50:00,web-02,32.0,10.46,21.54,32.7,0.00
2024-03-20T00:50:00,web-03,32.0,9.67,22.33,30.2,0.00
2024-03-20T00:55:00,web-01,32.0,11.90,20.10,37.2,0.00
2024-03-20T00:55:00,web-02,32.0,10.14,21.86,31.7,0.00
2024-03-20T00:55:00,web-03,32.0,10.63,21.37,33.2,0.00
2024-03-20T01:00:00,web-01,32.0,12.44,19.56,38.9,0.00
2024-03-20T01:00:00,web-02,32.0,10.05,21.95,31.4,0.00
2024-03-20T01:00:00,web-03,32.0,9.75,22.25,30.5,0.00
2024-03-20T01:05:00,web-01,32.0,12.29,19.71,38.4,0.00
2024-03-20T01:05:00,web-02,32.0,9.35,22.65,29.2,0.00
2024-03-20T01:05:00,web-03,32.0,9.17,22.83,28.6,0.00
2024-03-20T01:10:00,web-01,32.0,12.58,19.42,39.3,0.00
2024-03-20T01:10:00,web-02,32.0,10.60,21.40,33.1,0.00
2024-03-20T01:10:00,web-03,32.0,10.82,21.18,33.8,0.00
2024-03-20T01:15:00,web-01,32.0,11.53,20.47,36.0,0.00
2024-03-20T01:15:00,web-02,32.0,10.19,21.81,31.9,0.00
2024-03-20T01:15:00,web-03,32.0,9.87,22.13,30.8,0.00
2024-03-20T01:20:00,web-01,32.0,12.31,19.69,38.5,0.00
2024-03-20T01:20:00,web-02,32.0,10.14,21.86,31.7,0.00
2024-03-20T01:20:00,web-03,32.0,9.54,22.46,29.8,0.00
2024-03-20T01:25:00,web-01,32.0,12.49,19.51,39.0,0.00
2024-03-20T01:25:00,web-02,32.0,11.08,20.92,34.6,0.00
2024-03-20T01:25:00,web-03,32.0,9.77,22.23,30.5,0.00
2024-03-20T01:30:00,web-01,32.0,12.34,19.66,38.6,0.00
2024-03-20T01:30:00,web-02,32.0,9.46,22.54,29.6,0.00
2024-03-20T01:30:00,web-03,32.0,10.84,21.16,33.9,0.00
2024-03-20T01:35:00,web-01,32.0,12.01,19.99,37.5,0.00
2024-03-20T01:35:00,web-02,32.0,9.00,23.00,28.1,0.00
