section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-82BD4F,NON-1F72D191AA,bdb5168909556cc7,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-145150,NON-A78B1FC9E4,bca83a274466ece7,approved,PKT-82BD4F,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-7DC134,NON-E4F69679B2,c68160628ae82080,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-51C4CC,NON-FD354485C7,56385908a7302dc7,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-145150,,,,,,2,L1,list_action,NOI-06D5D5B2,draft,,,,include,NORSKU-05-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L1,list_action,NOI-4EC99FD4,final,,,,include,NORSKU-05-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L1,list_action,NOI-8CFCF621,final,,,,include,NORSKU-05-104,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,2,L1,list_action,NOI-B80F4073,draft,,,,include,NORSKU-05-17,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L1,list_action,NOI-F17AC0C8,final,,,,include,NORSKU-05-90,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L2,list_action,NOI-1F8F21A7,final,,,,include,REFIDS-05-21,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L2,list_action,NOI-231BF016,final,,,,include,REFIDS-05-100,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L2,list_action,NOI-28DD32CC,final,,,,include,REFIDS-05-42,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,2,L2,list_action,NOI-6A3A157A,draft,,,,include,REFIDS-05-80,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,2,L2,list_action,NOI-933F6EFB,draft,,,,include,REFIDS-05-83,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L3,list_action,NOI-06999D7D,final,,,,include,POLVIO-05-31,,,,,,,,,decoy from unselected or invalid packet
record,PKT-145150,,,,,,1,L3,list_action,NOI-66BAFF2C,final,,,,include,POLVIO-05-55,,,,,,,,,decoy from unselected or invalid packet
