section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-032DA0,NON-613B09286F,bb1071d8dcf7bc64,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-6DF077,NON-DDD4D404A2,3bb8cb0982799546,approved,PKT-032DA0,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-A511F2,NON-A291191D70,6433dce51d277e50,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-68667B,NON-5A2748A88B,f8b485331cab6328,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-032DA0,,,,,,3,L1,list_action,LST-2D2026BE,final,,,,include,NORSKU-03-90,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L1,list_action,LST-6CCD0D61,final,,,,include,NORSKU-03-13,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L1,list_action,LST-CECC7163,final,,,,include,NORSKU-03-26,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L1,list_action,LST-D350CDFD,final,,,,include,NORSKU-03-105,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L1,list_action,LST-E619D84B,final,,,,remove,NORSKU-03-DECOY,NORSKU-03-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-032DA0,,,,,,3,L2,list_action,LST-29433EAC,final,,,,include,REFIDS-03-96,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L2,list_action,LST-8A174160,final,,,,include,REFIDS-03-57,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L2,list_action,LST-8C817050,final,,,,include,REFIDS-03-11,,,,,,,,,include unless a later remove or alias targets it
record,PKT-032DA0,,,,,,3,L2,list_action,LST-A98A22D4,final,,,,remove,REFIDS-03-DECOY,REFIDS-03-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-032DA0,,,,,,3,L2,list_action,LST-E16FDD98,final,,,,include,REFIDS-03-100,,,,,,,,,include unless a later remove or alias targets it
