section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-9487B6,NON-10DBECC0B4,b749b3b65b671af4,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-3066CF,NON-220F677EAB,9e9f1e8d8115b5ca,approved,PKT-9487B6,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-920997,NON-558F265033,2da4f94294769660,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-49F2C5,NON-1CA180649D,397cdaebafee82f1,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-3066CF,,,,,,1,L1,list_action,NOI-5227AC84,final,,,,include,QUAFAI-04-44,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,L1,list_action,NOI-5A5B81C6,draft,,,,include,QUAFAI-04-94,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,L1,list_action,NOI-7603EEFF,draft,,,,include,QUAFAI-04-77,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,L1,list_action,NOI-A559C502,final,,,,include,QUAFAI-04-48,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,L1,list_action,NOI-F7717E33,final,,,,include,QUAFAI-04-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,L2,list_action,NOI-5AA07FEE,final,,,,include,RULIDS-04-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,L2,list_action,NOI-8D1FFC18,draft,,,,include,RULIDS-04-27,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,L2,list_action,NOI-B3B8307B,final,,,,include,RULIDS-04-57,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,L2,list_action,NOI-B4BC5AC5,final,,,,include,RULIDS-04-33,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,L2,list_action,NOI-D22C9180,draft,,,,include,RULIDS-04-32,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N1,numeric_delta,NOI-48C63A40,final,add,1782,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,N1,numeric_delta,NOI-60EF8957,draft,add,5758,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,N1,numeric_delta,NOI-992F3E03,draft,add,6862,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N1,numeric_delta,NOI-B11E6C60,final,add,8409,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N1,numeric_delta,NOI-DE68384A,final,add,6990,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N2,numeric_delta,NOI-42F8EEA8,final,add,6603,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N2,numeric_delta,NOI-529F5193,final,add,5053,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,N2,numeric_delta,NOI-A9D38A50,draft,add,5582,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,N2,numeric_delta,NOI-D35F146F,draft,add,2824,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,N2,numeric_delta,NOI-FDB912AE,final,add,7185,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,T1,text_candidate,NOI-0E49F37C,final,,,,,,,,,,,control,88,0,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,T1,text_candidate,NOI-5899DB9F,draft,,,,,,,,,,,control,85,3,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,T1,text_candidate,NOI-782CAD5E,final,,,,,,,,,,,variant_b,86,2,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,1,T1,text_candidate,NOI-D71A5C8E,final,,,,,,,,,,,variant_a,84,4,decoy from unselected or invalid packet
record,PKT-3066CF,,,,,,2,T1,text_candidate,NOI-D73995BD,draft,,,,,,,,,,,variant_a,87,1,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L1,list_action,NOI-36A2FAEC,final,,,,include,QUAFAI-04-30,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L1,list_action,NOI-8C36C298,final,,,,include,QUAFAI-04-23,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,L1,list_action,NOI-9743F9F6,draft,,,,include,QUAFAI-04-27,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L1,list_action,NOI-A5479382,final,,,,include,QUAFAI-04-80,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,L1,list_action,NOI-F0CCDFB7,draft,,,,include,QUAFAI-04-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L2,list_action,NOI-9B2D7D53,final,,,,include,RULIDS-04-28,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L2,list_action,NOI-A3A36528,final,,,,include,RULIDS-04-59,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,L2,list_action,NOI-CCB12DF6,draft,,,,include,RULIDS-04-81,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,L2,list_action,NOI-DFD69204,final,,,,include,RULIDS-04-22,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,L2,list_action,NOI-E3C25516,draft,,,,include,RULIDS-04-54,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,N1,numeric_delta,NOI-02288CC8,final,add,6708,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,N1,numeric_delta,NOI-10F1CFAD,final,add,7140,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,N1,numeric_delta,NOI-7DA768E1,final,add,3150,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,N1,numeric_delta,NOI-F6E68151,draft,add,2388,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,N1,numeric_delta,NOI-FA19AE17,draft,add,854,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,1,N2,numeric_delta,NOI-2C375AED,final,add,7487,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-49F2C5,,,,,,2,N2,numeric_delta,NOI-3CA816DF,draft,add,5699,100,,,,,,,,,,,decoy from unselected or invalid packet
