section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-24D53B,NON-ECB4C83762,b0bd67cb79a8cdca,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-FFCF0D,NON-6A1388110C,f4b7d1994aff17c2,approved,PKT-24D53B,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-FB1E21,NON-EC92C5663C,843cb23836dfd590,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-182B4B,NON-A2DF377455,37c78eec01753cbe,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-182B4B,,,,,,2,B1,boolean_gate,NOI-41B32129,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,1,B1,boolean_gate,NOI-79753309,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,2,B1,boolean_gate,NOI-A20CE98C,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,1,B1,boolean_gate,NOI-A347DFA3,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,1,B1,boolean_gate,NOI-D62ADA50,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,2,L1,list_action,NOI-0D083DC1,draft,,,,include,EXCIDS-05-25,,,,,,,,,decoy from unselected or invalid packet
record,PKT-182B4B,,,,,,1,L1,list_action,NOI-10C715A0,final,,,,include,EXCIDS-05-104,,,,,,,,,decoy from unselected or invalid packet
