section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-199773,NON-C3B9352903,ee6f216543b74954,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-8EF197,NON-231A1B4BB0,a67ee2d8cadee2e1,approved,PKT-199773,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-180FAE,NON-3CFB9CD126,a7c080d30b7c5c60,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-FF2D07,NON-ED30748C44,1f39f036912dedfb,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-180FAE,,,,,,2,L1,list_action,NOI-5D8F7D43,draft,,,,include,STAOPP-02-74,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,L1,list_action,NOI-5F03E90D,draft,,,,include,STAOPP-02-35,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L1,list_action,NOI-5F3363EE,final,,,,include,STAOPP-02-40,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L1,list_action,NOI-B83FB386,final,,,,include,STAOPP-02-44,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L1,list_action,NOI-BC86DA1E,final,,,,include,STAOPP-02-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L2,list_action,NOI-22C21478,final,,,,include,CAMERR-02-64,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,L2,list_action,NOI-5949ACA5,draft,,,,include,CAMERR-02-25,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L2,list_action,NOI-5C586A6B,final,,,,include,CAMERR-02-96,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,L2,list_action,NOI-6E6BEAA2,draft,,,,include,CAMERR-02-73,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L2,list_action,NOI-735E84A1,final,,,,include,CAMERR-02-81,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L3,list_action,NOI-2D5C86BD,final,,,,include,ACTITE-02-25,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L3,list_action,NOI-33AAC4CB,final,,,,include,ACTITE-02-106,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,L3,list_action,NOI-82C8C7EE,draft,,,,include,ACTITE-02-67,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,L3,list_action,NOI-D0559B98,draft,,,,include,ACTITE-02-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,L3,list_action,NOI-D3A58CFE,final,,,,include,ACTITE-02-30,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,N1,numeric_delta,NOI-0C9A648E,draft,add,6541,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,N1,numeric_delta,NOI-11D9963C,final,add,643,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,N1,numeric_delta,NOI-4C8E62A4,final,add,5792,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,N1,numeric_delta,NOI-71B24D46,final,add,6757,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,N1,numeric_delta,NOI-781B0DDC,draft,add,2551,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,T1,text_candidate,NOI-17397C58,final,,,,,,,,,,,exec_escalation,84,4,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,T1,text_candidate,NOI-7A5CD6EF,final,,,,,,,,,,,routine_closeout,86,2,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,1,T1,text_candidate,NOI-9BDD966A,final,,,,,,,,,,,watchlist_review,88,0,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,T1,text_candidate,NOI-DF4DDB47,draft,,,,,,,,,,,exec_escalation,87,1,decoy from unselected or invalid packet
record,PKT-180FAE,,,,,,2,T1,text_candidate,NOI-E05D194B,draft,,,,,,,,,,,watchlist_review,85,3,decoy from unselected or invalid packet
record,PKT-199773,,,,,,3,L1,list_action,LST-48A7EFCE,final,,,,include,STAOPP-02-101,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L1,list_action,LST-6A004ED8,final,,,,include,STAOPP-02-90,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L1,list_action,LST-770F5B0B,final,,,,include,STAOPP-02-44,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L1,list_action,LST-D69BE00D,final,,,,remove,STAOPP-02-DECOY,STAOPP-02-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-199773,,,,,,3,L1,list_action,LST-DDD65C95,final,,,,include,STAOPP-02-37,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L2,list_action,LST-1DF0E140,final,,,,include,CAMERR-02-105,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L2,list_action,LST-2B8EB7D5,final,,,,remove,CAMERR-02-DECOY,CAMERR-02-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-199773,,,,,,3,L2,list_action,LST-427B4AE7,final,,,,include,CAMERR-02-36,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L2,list_action,LST-5C40048F,final,,,,include,CAMERR-02-85,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L2,list_action,LST-EA7DE89E,final,,,,include,CAMERR-02-107,,,,,,,,,include unless a later remove or alias targets it
record,PKT-199773,,,,,,3,L3,list_action,LST-22726504,final,,,,remove,ACTITE-02-DECOY,ACTITE-02-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
