section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-887DE9,NON-7AA2B965B3,db35133e21f52eb9,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-2CED49,NON-F9423FE5BB,591c43573fd0cac2,approved,PKT-887DE9,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-341A7A,NON-6343BCA6B3,7aad0e7e19a5c2c0,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-B09CFA,NON-FFA2F381D4,68211467b23e68c5,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-2CED49,,,,,,2,L1,list_action,NOI-1229FC5B,draft,,,,include,QUAFAI-01-49,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L1,list_action,NOI-144CAA3D,final,,,,include,QUAFAI-01-79,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L1,list_action,NOI-1F0894CA,final,,,,include,QUAFAI-01-99,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,L1,list_action,NOI-450E573E,draft,,,,include,QUAFAI-01-27,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L1,list_action,NOI-5FB9B8B8,final,,,,include,QUAFAI-01-34,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L2,list_action,NOI-203E8D86,final,,,,include,RULIDS-01-23,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,L2,list_action,NOI-2F4EFE38,draft,,,,include,RULIDS-01-46,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L2,list_action,NOI-5291C7E8,final,,,,include,RULIDS-01-97,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,L2,list_action,NOI-ABF91DB2,draft,,,,include,RULIDS-01-68,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,L2,list_action,NOI-AF3158A3,final,,,,include,RULIDS-01-19,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,N1,numeric_delta,NOI-4C2B250E,draft,add,8541,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,N1,numeric_delta,NOI-694564FA,draft,add,2134,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N1,numeric_delta,NOI-796B8855,final,add,4940,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N1,numeric_delta,NOI-88D71EC7,final,add,2400,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N1,numeric_delta,NOI-F3E265B5,final,add,583,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N2,numeric_delta,NOI-40332AC5,final,add,9037,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,N2,numeric_delta,NOI-5CCC99AE,draft,add,3321,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,N2,numeric_delta,NOI-93A7255F,draft,add,1787,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N2,numeric_delta,NOI-A8C46DBA,final,add,7621,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,N2,numeric_delta,NOI-AEF25AD7,final,add,199,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,T1,text_candidate,NOI-0A4FCB2E,final,,,,,,,,,,,control,88,0,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,T1,text_candidate,NOI-3A00DF56,final,,,,,,,,,,,variant_b,86,2,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,T1,text_candidate,NOI-53C8821F,draft,,,,,,,,,,,variant_a,87,1,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,2,T1,text_candidate,NOI-B1D63C4D,draft,,,,,,,,,,,control,85,3,decoy from unselected or invalid packet
record,PKT-2CED49,,,,,,1,T1,text_candidate,NOI-D1E720C6,final,,,,,,,,,,,variant_a,84,4,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L1,list_action,NOI-0E7DF9B4,final,,,,include,QUAFAI-01-64,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,L1,list_action,NOI-35AD599A,draft,,,,include,QUAFAI-01-103,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,L1,list_action,NOI-38113AEB,draft,,,,include,QUAFAI-01-81,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L1,list_action,NOI-61506626,final,,,,include,QUAFAI-01-94,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L1,list_action,NOI-DC4FEF4B,final,,,,include,QUAFAI-01-105,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L2,list_action,NOI-33B4A5FC,final,,,,include,RULIDS-01-81,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,L2,list_action,NOI-4B760034,draft,,,,include,RULIDS-01-46,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L2,list_action,NOI-4EFA79F2,final,,,,include,RULIDS-01-87,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,L2,list_action,NOI-67ECB54C,final,,,,include,RULIDS-01-16,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,L2,list_action,NOI-AEC39CE7,draft,,,,include,RULIDS-01-29,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N1,numeric_delta,NOI-327375D2,final,add,4843,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,N1,numeric_delta,NOI-58066E68,draft,add,923,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N1,numeric_delta,NOI-79ACCB38,final,add,8948,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N1,numeric_delta,NOI-AA215569,final,add,8501,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,N1,numeric_delta,NOI-E4A474ED,draft,add,5724,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,N2,numeric_delta,NOI-07B0052F,draft,add,3815,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N2,numeric_delta,NOI-24B95DF3,final,add,111,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N2,numeric_delta,NOI-5548F92E,final,add,8602,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,N2,numeric_delta,NOI-9EA43F8B,final,add,404,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,N2,numeric_delta,NOI-B0C8F803,draft,add,5406,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,T1,text_candidate,NOI-456F3017,final,,,,,,,,,,,variant_a,84,4,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,T1,text_candidate,NOI-5F461C8C,final,,,,,,,,,,,control,88,0,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,T1,text_candidate,NOI-A5B5B0F9,draft,,,,,,,,,,,variant_a,87,1,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,1,T1,text_candidate,NOI-C60CF9E1,final,,,,,,,,,,,variant_b,86,2,decoy from unselected or invalid packet
record,PKT-341A7A,,,,,,2,T1,text_candidate,NOI-DE82664D,draft,,,,,,,,,,,control,85,3,decoy from unselected or invalid packet
