section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-40659C,NON-E218099A09,cbe85214d6b09f69,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-474ED8,NON-36796EDCD9,75dbd629fce1bfdb,approved,PKT-40659C,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-CA6136,NON-C2F8E2AA65,b4c44a4397982470,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-8E6443,NON-DE9CEF639C,060674e4f5ac5f3e,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-40659C,,,,,,3,L1,list_action,LST-1780B229,final,,,,include,STAOPP-01-24,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L1,list_action,LST-47F4D8E0,final,,,,include,STAOPP-01-47,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L1,list_action,LST-98D482A5,final,,,,include,STAOPP-01-61,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L1,list_action,LST-AC068C7A,final,,,,include,STAOPP-01-84,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L1,list_action,LST-E3E6B13A,final,,,,remove,STAOPP-01-DECOY,STAOPP-01-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-40659C,,,,,,3,L2,list_action,LST-0A5173F3,final,,,,remove,CAMERR-01-DECOY,CAMERR-01-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-40659C,,,,,,3,L2,list_action,LST-0E488830,final,,,,include,CAMERR-01-20,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L2,list_action,LST-3FA771EA,final,,,,include,CAMERR-01-17,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L2,list_action,LST-AAA70E8B,final,,,,include,CAMERR-01-98,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L2,list_action,LST-AC19714F,final,,,,include,CAMERR-01-35,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L3,list_action,LST-20C3C045,final,,,,include,ACTITE-01-13,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L3,list_action,LST-7E22F409,final,,,,include,ACTITE-01-35,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L3,list_action,LST-C3CB82AB,final,,,,remove,ACTITE-01-DECOY,ACTITE-01-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-40659C,,,,,,3,L3,list_action,LST-C552830A,final,,,,include,ACTITE-01-14,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,L3,list_action,LST-DA9ECA5A,final,,,,include,ACTITE-01-58,,,,,,,,,include unless a later remove or alias targets it
record,PKT-40659C,,,,,,3,N1,numeric_delta,NUM-112E6F63,final,subtract,499,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-40659C,,,,,,3,N1,numeric_delta,NUM-22A4EC31,final,add,2973,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-40659C,,,,,,3,N1,numeric_delta,NUM-48DE3A14,final,add,2105,100,,,,,,,,,,,apply signed amount_minor divided by scale
