section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-FD3A9E,NON-998DBCD75C,b424f36975750f92,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-DF2334,NON-59E33C4E69,929e0f366134e323,approved,PKT-FD3A9E,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-423323,NON-E715E1F661,ec5263a9a370b7b0,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-5350C4,NON-4E7184BF15,a221b632c568f285,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-423323,,,,,,2,L1,list_action,NOI-0B5A88A4,draft,,,,include,STAOPP-04-67,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L1,list_action,NOI-3709FD37,final,,,,include,STAOPP-04-72,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L1,list_action,NOI-AC0F7CE1,final,,,,include,STAOPP-04-64,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,2,L1,list_action,NOI-B0B1021C,draft,,,,include,STAOPP-04-55,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L1,list_action,NOI-F19CC076,final,,,,include,STAOPP-04-73,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L2,list_action,NOI-159DBBB8,final,,,,include,CAMERR-04-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,2,L2,list_action,NOI-238A8D0F,draft,,,,include,CAMERR-04-32,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,2,L2,list_action,NOI-85D5845F,draft,,,,include,CAMERR-04-89,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L2,list_action,NOI-BB097F0D,final,,,,include,CAMERR-04-70,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L2,list_action,NOI-ED27C72A,final,,,,include,CAMERR-04-61,,,,,,,,,decoy from unselected or invalid packet
record,PKT-423323,,,,,,1,L3,list_action,NOI-326B2021,final,,,,include,ACTITE-04-66,,,,,,,,,decoy from unselected or invalid packet
