product_id,product_name,quarter,region,units_sold,unit_price,revenue,cost,profit
P001,Widget Alpha,Q1,North,1240,29.99,37187.60,18500.00,18687.60
P002,Gadget Beta,Q1,North,890,54.99,48941.10,28000.00,20941.10
P003,Device Gamma,Q1,North,2100,12.50,26250.00,13100.00,13150.00
P004,Tool Delta,Q1,North,450,89.99,40495.50,22000.00,18495.50
P005,Module Epsilon,Q1,North,3200,8.75,28000.00,14000.00,14000.00
P001,Widget Alpha,Q2,North,1380,29.99,41386.20,19200.00,22186.20
P002,Gadget Beta,Q2,North,960,54.99,52790.40,30000.00,22790.40
P003,Device Gamma,Q2,North,2350,12.50,29375.00,14200.00,15175.00
P004,Tool Delta,Q2,North,510,89.99,45894.90,24500.00,21394.90
P005,Module Epsilon,Q2,North,3500,8.75,30625.00,15200.00,15425.00
P001,Widget Alpha,Q3,North,1520,29.99,45584.80,20100.00,25484.80
P002,Gadget Beta,Q3,North,1050,54.99,57739.50,32000.00,25739.50
P003,Device Gamma,Q3,North,2600,12.50,32500.00,15500.00,17000.00
P004,Tool Delta,Q3,North,580,89.99,52194.20,27000.00,25194.20
P005,Module Epsilon,Q3,North,3800,8.75,33250.00,16500.00,16750.00
P001,Widget Alpha,Q4,North,1680,29.99,50383.20,21500.00,28883.20
P002,Gadget Beta,Q4,North,1180,54.99,64888.20,35500.00,29388.20
P003,Device Gamma,Q4,North,2900,12.50,36250.00,17200.00,19050.00
P004,Tool Delta,Q4,North,640,89.99,57593.60,30000.00,27593.60
P005,Module Epsilon,Q4,North,4200,8.75,36750.00,18300.00,18450.00
