section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-00B060,NON-0A74135505,38bb9a50bdce8a7f,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-A984CE,NON-D4FAE14BE5,140bfb1cc077640f,approved,PKT-00B060,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-9B8410,NON-8A20662F3F,1bd74df29a0d9b20,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-881240,NON-5BD9716EA6,201c31a7a6ca8262,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-00B060,,,,,,3,B1,boolean_gate,BOL-13877CBD,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-00B060,,,,,,3,B1,boolean_gate,BOL-53A6A68D,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-00B060,,,,,,3,B1,boolean_gate,BOL-5724E136,final,,,,,,,,,clear,blocked,,,,field is true only when all selected gates match expected
record,PKT-00B060,,,,,,3,B1,boolean_gate,BOL-5CC1B5A8,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-00B060,,,,,,3,L1,list_action,LST-61ADEE64,final,,,,include,EXCIDS-02-22,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L1,list_action,LST-BCC6883C,final,,,,remove,EXCIDS-02-DECOY,EXCIDS-02-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-00B060,,,,,,3,L1,list_action,LST-D03B51E6,final,,,,include,EXCIDS-02-76,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L1,list_action,LST-EF62667B,final,,,,include,EXCIDS-02-19,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L1,list_action,LST-FEC3145D,final,,,,include,EXCIDS-02-17,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L2,list_action,LST-3B8B7265,final,,,,include,EUR,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L2,list_action,LST-3FA4F746,final,,,,remove,CUR-02-DECOY,CUR-02-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-00B060,,,,,,3,L2,list_action,LST-6B845AF0,final,,,,include,CAD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,L2,list_action,LST-BFCFA6EA,final,,,,include,USD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-27FE9B4E,final,add,999,100,,,,,,,,,,,positive-control adjustment
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-2A74D3FE,final,subtract,4280,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-58BA7D97,final,subtract,3889,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-792F0A3E,final,add,1142,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-FCC042FD,final,add,3243,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N1,numeric_delta,NUM-FF15EE66,final,add,3510,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N2,numeric_delta,NUM-043BB6A7,final,subtract,999,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N2,numeric_delta,NUM-07DDA421,final,add,4481,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N2,numeric_delta,NUM-156620C7,final,add,1412,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N2,numeric_delta,NUM-17DE7477,final,add,1536,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-00B060,,,,,,3,N2,numeric_delta,NUM-D094A050,final,subtract,2281,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-881240,,,,,,1,B1,boolean_gate,NOI-02793083,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,1,B1,boolean_gate,NOI-0A83A8BA,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,1,B1,boolean_gate,NOI-8BB6047B,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,2,B1,boolean_gate,NOI-D10AF894,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,2,B1,boolean_gate,NOI-DEBAA6B2,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,1,L1,list_action,NOI-201F8C4D,final,,,,include,EXCIDS-02-59,,,,,,,,,decoy from unselected or invalid packet
record,PKT-881240,,,,,,1,L1,list_action,NOI-38DF0E79,final,,,,include,EXCIDS-02-91,,,,,,,,,decoy from unselected or invalid packet
