product_id,product_name,quarter,region,units_sold,unit_price,revenue,cost,profit
P001,Widget Alpha,Q1,South,980,29.99,29390.20,14600.00,14790.20
P002,Gadget Beta,Q1,South,720,54.99,39592.80,22000.00,17592.80
P003,Device Gamma,Q1,South,1800,12.50,22500.00,11200.00,11300.00
P004,Tool Delta,Q1,South,380,89.99,34196.20,18500.00,15696.20
P005,Module Epsilon,Q1,South,2700,8.75,23625.00,11800.00,11825.00
P001,Widget Alpha,Q2,South,1100,29.99,32989.00,15800.00,17189.00
P002,Gadget Beta,Q2,South,800,54.99,43992.00,24000.00,19992.00
P003,Device Gamma,Q2,South,2000,12.50,25000.00,12500.00,12500.00
P004,Tool Delta,Q2,South,420,89.99,37795.80,20000.00,17795.80
P005,Module Epsilon,Q2,South,3000,8.75,26250.00,13100.00,13150.00
P001,Widget Alpha,Q3,South,1250,29.99,37487.50,17200.00,20287.50
P002,Gadget Beta,Q3,South,890,54.99,48941.10,26500.00,22441.10
P003,Device Gamma,Q3,South,2200,12.50,27500.00,13700.00,13800.00
P004,Tool Delta,Q3,South,470,89.99,42295.30,22500.00,19795.30
P005,Module Epsilon,Q3,South,3300,8.75,28875.00,14400.00,14475.00
P001,Widget Alpha,Q4,South,1400,29.99,41986.00,19000.00,22986.00
P002,Gadget Beta,Q4,South,1000,54.99,54990.00,29500.00,25490.00
P003,Device Gamma,Q4,South,2500,12.50,31250.00,15500.00,15750.00
P004,Tool Delta,Q4,South,540,89.99,48594.60,25500.00,23094.60
P005,Module Epsilon,Q4,South,3700,8.75,32375.00,16200.00,16175.00
