timestamp,host,cpu_usage_pct,user_pct,system_pct,iowait_pct,load_avg_1m
2024-03-20T00:00:00,web-01,24.6,15.8,3.0,5.8,1.08
2024-03-20T00:00:00,web-02,24.5,17.2,4.6,2.7,0.82
2024-03-20T00:00:00,web-03,24.3,15.4,3.7,5.3,0.79
2024-03-20T00:05:00,web-01,25.3,16.0,4.2,5.2,1.03
2024-03-20T00:05:00,web-02,25.7,18.6,2.6,4.6,1.16
2024-03-20T00:05:00,web-03,28.9,20.4,3.9,4.7,1.00
2024-03-20T00:10:00,web-01,27.6,17.0,3.0,7.6,1.26
2024-03-20T00:10:00,web-02,24.3,16.8,4.4,3.1,1.06
2024-03-20T00:10:00,web-03,17.1,11.3,2.7,3.2,0.78
2024-03-20T00:15:00,web-01,23.2,16.1,4.3,2.8,0.96
2024-03-20T00:15:00,web-02,24.7,15.7,3.2,5.9,0.82
2024-03-20T00:15:00,web-03,24.1,15.3,2.7,6.1,0.88
2024-03-20T00:20:00,web-01,23.1,15.2,2.8,5.2,0.84
2024-03-20T00:20:00,web-02,22.8,16.9,3.8,2.2,0.95
2024-03-20T00:20:00,web-03,27.3,17.1,3.8,6.5,1.31
2024-03-20T00:25:00,web-01,29.3,20.4,4.6,4.3,1.26
2024-03-20T00:25:00,web-02,27.9,17.7,2.9,7.3,1.03
2024-03-20T00:25:00,web-03,20.7,13.2,2.5,4.9,0.97
2024-03-20T00:30:00,web-01,26.9,18.8,3.7,4.4,1.25
2024-03-20T00:30:00,web-02,23.2,15.5,2.9,4.7,0.83
2024-03-20T00:30:00,web-03,22.8,15.7,4.3,2.8,0.88
2024-03-20T00:35:00,web-01,24.1,15.3,4.8,4.0,0.97
2024-03-20T00:35:00,web-02,25.8,15.9,4.2,5.7,1.15
2024-03-20T00:35:00,web-03,25.5,16.9,2.7,5.9,0.97
2024-03-20T00:40:00,web-01,28.7,21.4,5.3,2.0,0.92
2024-03-20T00:40:00,web-02,24.9,17.6,4.2,3.1,1.01
2024-03-20T00:40:00,web-03,24.5,15.1,3.5,5.9,0.96
2024-03-20T00:45:00,web-01,29.3,21.7,5.5,2.0,1.06
2024-03-20T00:45:00,web-02,23.1,17.0,4.3,1.8,0.85
2024-03-20T00:45:00,web-03,25.0,17.4,4.0,3.6,0.86
2024-03-20T00:50:00,web-01,25.3,18.1,3.9,3.3,0.81
2024-03-20T00:50:00,web-02,21.3,13.8,2.2,5.3,1.00
