section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-4FAA0E,NON-6531499C32,10f1d1539ab7c628,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-D5915A,NON-97D1AEDF3B,9b0707902d247b76,approved,PKT-4FAA0E,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-3588D1,NON-DE9E861A19,48f1ef9f5edc95c0,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-D50FA9,NON-CF667B3072,38041684a966141e,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-3588D1,,,,,,2,L1,list_action,NOI-53ACD2CE,draft,,,,include,NORSKU-03-76,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L1,list_action,NOI-8872B25E,final,,,,include,NORSKU-03-98,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L1,list_action,NOI-B9703C99,final,,,,include,NORSKU-03-55,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L1,list_action,NOI-CAA0CD49,final,,,,include,NORSKU-03-93,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,L1,list_action,NOI-F7B82124,draft,,,,include,NORSKU-03-39,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L2,list_action,NOI-37037E45,final,,,,include,REFIDS-03-35,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L2,list_action,NOI-7B86B3D7,final,,,,include,REFIDS-03-51,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,L2,list_action,NOI-DED7ECBA,draft,,,,include,REFIDS-03-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,L2,list_action,NOI-E557CDE4,draft,,,,include,REFIDS-03-42,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L2,list_action,NOI-FFF7747E,final,,,,include,REFIDS-03-82,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L3,list_action,NOI-130F1088,final,,,,include,POLVIO-03-72,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,L3,list_action,NOI-19B00220,draft,,,,include,POLVIO-03-99,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,L3,list_action,NOI-2BB7AEE3,draft,,,,include,POLVIO-03-18,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L3,list_action,NOI-371BE60D,final,,,,include,POLVIO-03-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,L3,list_action,NOI-8F52219D,final,,,,include,POLVIO-03-94,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,N1,numeric_delta,NOI-09472A1B,final,add,3185,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,N1,numeric_delta,NOI-2067B960,draft,add,8839,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,N1,numeric_delta,NOI-70A0E614,final,add,7170,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,N1,numeric_delta,NOI-B3D2B4B5,draft,add,8046,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,N1,numeric_delta,NOI-E0D2D223,final,add,3905,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,T1,text_candidate,NOI-3A4AAE1B,final,,,,,,,,,,,recact_secondary,84,4,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,T1,text_candidate,NOI-4945D2B4,final,,,,,,,,,,,recact_exception,86,2,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,T1,text_candidate,NOI-79860E63,draft,,,,,,,,,,,recact_primary,85,3,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,2,T1,text_candidate,NOI-91FD4BA9,draft,,,,,,,,,,,recact_secondary,87,1,decoy from unselected or invalid packet
record,PKT-3588D1,,,,,,1,T1,text_candidate,NOI-E8D08788,final,,,,,,,,,,,recact_primary,88,0,decoy from unselected or invalid packet
record,PKT-4FAA0E,,,,,,3,L1,list_action,LST-1F2343CE,final,,,,include,NORSKU-03-94,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L1,list_action,LST-AA07C976,final,,,,remove,NORSKU-03-DECOY,NORSKU-03-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-4FAA0E,,,,,,3,L1,list_action,LST-B392E0C5,final,,,,include,NORSKU-03-54,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L1,list_action,LST-BA3A71D7,final,,,,include,NORSKU-03-106,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L1,list_action,LST-CBE299F7,final,,,,include,NORSKU-03-42,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L2,list_action,LST-5935DD41,final,,,,remove,REFIDS-03-DECOY,REFIDS-03-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-4FAA0E,,,,,,3,L2,list_action,LST-5BFD3C1C,final,,,,include,REFIDS-03-103,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L2,list_action,LST-7CBEA389,final,,,,include,REFIDS-03-74,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L2,list_action,LST-FA183B80,final,,,,include,REFIDS-03-36,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L2,list_action,LST-FBF4A23E,final,,,,include,REFIDS-03-97,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L3,list_action,LST-2E14FBFF,final,,,,include,POLVIO-03-94,,,,,,,,,include unless a later remove or alias targets it
record,PKT-4FAA0E,,,,,,3,L3,list_action,LST-7868129F,final,,,,remove,POLVIO-03-DECOY,POLVIO-03-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-4FAA0E,,,,,,3,L3,list_action,LST-7DCACF1C,final,,,,include,POLVIO-03-29,,,,,,,,,include unless a later remove or alias targets it
