product_id,product_name,quarter,region,units_sold,unit_price,revenue,cost,profit
P001,Widget Alpha,Q1,West,1100,29.99,32989.00,16400.00,16589.00
P002,Gadget Beta,Q1,West,800,54.99,43992.00,25000.00,18992.00
P003,Device Gamma,Q1,West,2000,12.50,25000.00,12400.00,12600.00
P004,Tool Delta,Q1,West,410,89.99,36895.90,20000.00,16895.90
P005,Module Epsilon,Q1,West,3100,8.75,27125.00,13600.00,13525.00
P001,Widget Alpha,Q2,West,1240,29.99,37187.60,18000.00,19187.60
P002,Gadget Beta,Q2,West,900,54.99,49491.00,27500.00,21991.00
P003,Device Gamma,Q2,West,2250,12.50,28125.00,14000.00,14125.00
P004,Tool Delta,Q2,West,460,89.99,41395.40,22000.00,19395.40
P005,Module Epsilon,Q2,West,3400,8.75,29750.00,14900.00,14850.00
P001,Widget Alpha,Q3,West,1380,29.99,41386.20,20200.00,21186.20
P002,Gadget Beta,Q3,West,1000,54.99,54990.00,30500.00,24490.00
P003,Device Gamma,Q3,West,2500,12.50,31250.00,15600.00,15650.00
P004,Tool Delta,Q3,West,520,89.99,46794.80,25000.00,21794.80
P005,Module Epsilon,Q3,West,3700,8.75,32375.00,16200.00,16175.00
P001,Widget Alpha,Q4,West,1550,29.99,46484.50,22500.00,23984.50
P002,Gadget Beta,Q4,West,1120,54.99,61588.80,34000.00,27588.80
P003,Device Gamma,Q4,West,2800,12.50,35000.00,17500.00,17500.00
P004,Tool Delta,Q4,West,590,89.99,53094.10,28000.00,25094.10
P005,Module Epsilon,Q4,West,4100,8.75,35875.00,18000.00,17875.00
