section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-6FC249,NON-3CBE9302FF,64f8a7b021cbed6d,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-C0EB23,NON-553C7E9B1B,021970cb4f3a872f,approved,PKT-6FC249,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-5B09F6,NON-B60D441CED,2e83d7e92442a440,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-D08698,NON-91D3A25499,1e442197d5d51df5,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-5B09F6,,,,,,2,B1,boolean_gate,NOI-1EACEC1F,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,B1,boolean_gate,NOI-34ECDFE7,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,B1,boolean_gate,NOI-481036F4,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,B1,boolean_gate,NOI-567FC7F8,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,B1,boolean_gate,NOI-A54A6B50,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,L1,list_action,NOI-77FBE28F,draft,,,,include,EXCIDS-04-47,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L1,list_action,NOI-7B7F3D07,final,,,,include,EXCIDS-04-11,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L1,list_action,NOI-91CB2649,final,,,,include,EXCIDS-04-65,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,L1,list_action,NOI-9ACC6B13,draft,,,,include,EXCIDS-04-76,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L1,list_action,NOI-D1C60861,final,,,,include,EXCIDS-04-48,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,L2,list_action,NOI-536A9FF0,draft,,,,include,CHF,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L2,list_action,NOI-9A43CAFB,final,,,,include,CHF,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L2,list_action,NOI-DA2985CF,final,,,,include,JPY,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,L2,list_action,NOI-DC6872C3,final,,,,include,USD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,L2,list_action,NOI-E975F9B0,draft,,,,include,AUD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N1,numeric_delta,NOI-007E2402,final,add,7664,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,N1,numeric_delta,NOI-026D6B23,draft,add,2962,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N1,numeric_delta,NOI-0F89840B,final,add,1331,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N1,numeric_delta,NOI-61934561,final,add,3168,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,N1,numeric_delta,NOI-CA83CB0D,draft,add,3156,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N2,numeric_delta,NOI-1309303D,final,add,4768,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N2,numeric_delta,NOI-304546EB,final,add,8778,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,N2,numeric_delta,NOI-76AB1FCC,draft,add,4873,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,1,N2,numeric_delta,NOI-7917CC98,final,add,4069,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-5B09F6,,,,,,2,N2,numeric_delta,NOI-A9CE7BEB,draft,add,5119,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-6FC249,,,,,,3,B1,boolean_gate,BOL-009B10D9,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-6FC249,,,,,,3,B1,boolean_gate,BOL-6785DAF0,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-6FC249,,,,,,3,B1,boolean_gate,BOL-93242CC8,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-6FC249,,,,,,3,B1,boolean_gate,BOL-E7D264E0,final,,,,,,,,,clear,clear,,,,field is true only when all selected gates match expected
record,PKT-6FC249,,,,,,3,L1,list_action,LST-1A05B1D2,final,,,,remove,EXCIDS-04-DECOY,EXCIDS-04-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-6FC249,,,,,,3,L1,list_action,LST-4D7FB8F1,final,,,,include,EXCIDS-04-16,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L1,list_action,LST-D7EE80BA,final,,,,include,EXCIDS-04-30,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L1,list_action,LST-F6026BAC,final,,,,include,EXCIDS-04-42,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L1,list_action,LST-FDE0AB6D,final,,,,include,EXCIDS-04-19,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L2,list_action,LST-6E31FE98,final,,,,remove,CUR-04-DECOY,CUR-04-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-6FC249,,,,,,3,L2,list_action,LST-7A1CB9C5,final,,,,include,CHF,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L2,list_action,LST-9BD27E97,final,,,,include,CAD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L2,list_action,LST-9EBB089D,final,,,,include,JPY,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,L2,list_action,LST-BA599794,final,,,,include,USD,,,,,,,,,include unless a later remove or alias targets it
record,PKT-6FC249,,,,,,3,N1,numeric_delta,NUM-33E2258C,final,add,3332,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-6FC249,,,,,,3,N1,numeric_delta,NUM-94BD0B61,final,subtract,1837,100,,,,,,,,,,,apply signed amount_minor divided by scale
