product_id,product_name,quarter,region,units_sold,unit_price,revenue,cost,profit
P001,Widget Alpha,Q1,Central,860,29.99,25791.40,12800.00,12991.40
P002,Gadget Beta,Q1,Central,620,54.99,34093.80,19000.00,15093.80
P003,Device Gamma,Q1,Central,1500,12.50,18750.00,9300.00,9450.00
P004,Tool Delta,Q1,Central,320,89.99,28796.80,15600.00,13196.80
P005,Module Epsilon,Q1,Central,2400,8.75,21000.00,10500.00,10500.00
P001,Widget Alpha,Q2,Central,950,29.99,28490.50,14100.00,14390.50
P002,Gadget Beta,Q2,Central,700,54.99,38493.00,21500.00,16993.00
P003,Device Gamma,Q2,Central,1700,12.50,21250.00,10600.00,10650.00
P004,Tool Delta,Q2,Central,360,89.99,32396.40,17500.00,14896.40
P005,Module Epsilon,Q2,Central,2700,8.75,23625.00,11800.00,11825.00
P001,Widget Alpha,Q3,Central,1080,29.99,32389.20,16100.00,16289.20
P002,Gadget Beta,Q3,Central,790,54.99,43442.10,24000.00,19442.10
P003,Device Gamma,Q3,Central,1950,12.50,24375.00,12100.00,12275.00
P004,Tool Delta,Q3,Central,410,89.99,36895.90,20000.00,16895.90
P005,Module Epsilon,Q3,Central,3000,8.75,26250.00,13100.00,13150.00
P001,Widget Alpha,Q4,Central,1220,29.99,36587.80,18200.00,18387.80
P002,Gadget Beta,Q4,Central,890,54.99,48941.10,27000.00,21941.10
P003,Device Gamma,Q4,Central,2200,12.50,27500.00,13700.00,13800.00
P004,Tool Delta,Q4,Central,470,89.99,42295.30,22500.00,19795.30
P005,Module Epsilon,Q4,Central,3400,8.75,29750.00,14900.00,14850.00
