section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-C193AA,NON-8040993D3A,8f243053d3248005,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-AE4AB6,NON-5F3FDC0DF6,3534fe3bae9a6836,approved,PKT-C193AA,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-D4EA55,NON-F97A20BA56,18539e6c08a7ce00,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-963BA4,NON-70ECD63CF8,7d2268b0c84f0656,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-963BA4,,,,,,2,L1,list_action,NOI-28D3C34E,draft,,,,include,NORSKU-02-70,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L1,list_action,NOI-2DFB5CF6,final,,,,include,NORSKU-02-28,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L1,list_action,NOI-2F778B47,final,,,,include,NORSKU-02-13,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,2,L1,list_action,NOI-40EDAA12,draft,,,,include,NORSKU-02-45,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L1,list_action,NOI-4DB3B38C,final,,,,include,NORSKU-02-72,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L2,list_action,NOI-06B1C2C6,final,,,,include,REFIDS-02-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,2,L2,list_action,NOI-3E47F244,draft,,,,include,REFIDS-02-33,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L2,list_action,NOI-4396358D,final,,,,include,REFIDS-02-93,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L2,list_action,NOI-57FF6C36,final,,,,include,REFIDS-02-36,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,2,L2,list_action,NOI-6E84E1C1,draft,,,,include,REFIDS-02-40,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,2,L3,list_action,NOI-2907ED11,draft,,,,include,POLVIO-02-95,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L3,list_action,NOI-2AF58B35,final,,,,include,POLVIO-02-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L3,list_action,NOI-6AE4C27B,final,,,,include,POLVIO-02-52,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,1,L3,list_action,NOI-C547E6A3,final,,,,include,POLVIO-02-20,,,,,,,,,decoy from unselected or invalid packet
record,PKT-963BA4,,,,,,2,L3,list_action,NOI-D388CF4A,draft,,,,include,POLVIO-02-53,,,,,,,,,decoy from unselected or invalid packet
