section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-415886,NON-CC15530596,5bb84c5ad3b42700,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-DE4420,NON-33C1284B4B,0baba0754448b7df,approved,PKT-415886,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-3D2436,NON-BB45AF1ABF,519940e888950d10,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-7DEC68,NON-4521B82685,cd5a8bb62527237c,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-3D2436,,,,,,1,B1,boolean_gate,NOI-14CF6824,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,B1,boolean_gate,NOI-42221EE9,final,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,2,B1,boolean_gate,NOI-48CC541A,draft,,,,,,,,,clear,clear,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,B1,boolean_gate,NOI-7FFD240D,final,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,2,B1,boolean_gate,NOI-C90232C2,draft,,,,,,,,,clear,blocked,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,L1,list_action,NOI-48B3CA18,final,,,,include,EXCIDS-02-85,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,L1,list_action,NOI-49968997,final,,,,include,EXCIDS-02-92,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,L1,list_action,NOI-573908CE,final,,,,include,EXCIDS-02-45,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,2,L1,list_action,NOI-8D9FC101,draft,,,,include,EXCIDS-02-22,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,2,L1,list_action,NOI-B695A901,draft,,,,include,EXCIDS-02-45,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,2,L2,list_action,NOI-72994BEC,draft,,,,include,CAD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,L2,list_action,NOI-97CE0270,final,,,,include,CAD,,,,,,,,,decoy from unselected or invalid packet
record,PKT-3D2436,,,,,,1,L2,list_action,NOI-B90E8350,final,,,,include,USD,,,,,,,,,decoy from unselected or invalid packet
