section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-BCC215,NON-F3A9B264A3,3d70f69d11bfe924,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-41B5EF,NON-E40995D049,114e9d93c8f1816c,approved,PKT-BCC215,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-BADA74,NON-8E316BA2D5,a781eab7f3c7de30,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-78F568,NON-9103E15442,bbebebaa16e309e3,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-41B5EF,,,,,,1,L1,list_action,NOI-0B9DAF67,final,,,,include,QUAFAI-01-50,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,L1,list_action,NOI-2F2DF4C8,final,,,,include,QUAFAI-01-90,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,L1,list_action,NOI-6732B3B6,final,,,,include,QUAFAI-01-56,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,L1,list_action,NOI-67F41801,draft,,,,include,QUAFAI-01-79,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,L1,list_action,NOI-E1FBDB2F,draft,,,,include,QUAFAI-01-59,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,L2,list_action,NOI-07AA5C20,final,,,,include,RULIDS-01-63,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,L2,list_action,NOI-4DD65D82,final,,,,include,RULIDS-01-91,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,L2,list_action,NOI-61119B2C,draft,,,,include,RULIDS-01-41,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,L2,list_action,NOI-7016FEAA,draft,,,,include,RULIDS-01-24,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,L2,list_action,NOI-A69B827A,final,,,,include,RULIDS-01-85,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,N1,numeric_delta,NOI-1AD7C5EC,draft,add,3433,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N1,numeric_delta,NOI-2809ED58,final,add,6940,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N1,numeric_delta,NOI-4F0513BE,final,add,8229,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,N1,numeric_delta,NOI-89C97C7E,draft,add,5697,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N1,numeric_delta,NOI-8A1BA6FE,final,add,1553,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,N2,numeric_delta,NOI-1E5CBA9C,draft,add,3694,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N2,numeric_delta,NOI-577A4110,final,add,282,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N2,numeric_delta,NOI-77E0CD16,final,add,8529,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,N2,numeric_delta,NOI-8AE5CF79,draft,add,7608,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,N2,numeric_delta,NOI-974BE5E0,final,add,1777,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,T1,text_candidate,NOI-46ED5A73,draft,,,,,,,,,,,control,85,3,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,2,T1,text_candidate,NOI-54AE38AB,draft,,,,,,,,,,,variant_a,87,1,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,T1,text_candidate,NOI-6C3A26DE,final,,,,,,,,,,,variant_b,86,2,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,T1,text_candidate,NOI-C67B0AC4,final,,,,,,,,,,,control,88,0,decoy from unselected or invalid packet
record,PKT-41B5EF,,,,,,1,T1,text_candidate,NOI-D882A4A5,final,,,,,,,,,,,variant_a,84,4,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L1,list_action,NOI-3F3FF368,final,,,,include,QUAFAI-01-11,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L1,list_action,NOI-736E149B,final,,,,include,QUAFAI-01-50,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,L1,list_action,NOI-9EF3C080,draft,,,,include,QUAFAI-01-79,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,L1,list_action,NOI-EF6B4DF1,draft,,,,include,QUAFAI-01-68,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L1,list_action,NOI-FF8E000A,final,,,,include,QUAFAI-01-92,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,L2,list_action,NOI-3D40CFAD,draft,,,,include,RULIDS-01-41,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,L2,list_action,NOI-99339842,draft,,,,include,RULIDS-01-70,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L2,list_action,NOI-B83039F4,final,,,,include,RULIDS-01-56,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L2,list_action,NOI-D158AD44,final,,,,include,RULIDS-01-71,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,L2,list_action,NOI-E0773B00,final,,,,include,RULIDS-01-34,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,N1,numeric_delta,NOI-055C5531,draft,add,2443,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,N1,numeric_delta,NOI-1A47A120,final,add,4928,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,N1,numeric_delta,NOI-23FE1466,final,add,3838,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,N1,numeric_delta,NOI-3D53113F,final,add,3196,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,N1,numeric_delta,NOI-7AB9074F,draft,add,8673,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,N2,numeric_delta,NOI-0246297F,final,add,5753,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,N2,numeric_delta,NOI-158B8B97,draft,add,5446,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,2,N2,numeric_delta,NOI-CD3CA5E1,draft,add,3519,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-78F568,,,,,,1,N2,numeric_delta,NOI-F36B7997,final,add,1421,100,,,,,,,,,,,decoy from unselected or invalid packet
