section,packet_id,nonce,checksum,state,superseded_by,source_weight,revision,channel,kind,record_id,status,operator,amount_minor,scale,action,value,target,bucket,delta,expected,observed,candidate,score,penalty,note
protocol,,,,,,,,,,,,,,,,evoclawbench-hard-mode-v4,,,,,,,,,metadata row; use manifest and record rows for derivation
manifest,PKT-327CD0,NON-188AC6CA88,ed1ab0371cfa7798,approved,,90,3,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-B076DC,NON-DE5CBF5A05,90bf8fc07242e602,approved,PKT-327CD0,83,2,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-4216FA,NON-E212679AF0,830c79edb6d719e0,approved,,76,1,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
manifest,PKT-B3786A,NON-F21BC988BA,9f07150b889e5d32,draft,,69,4,,,,,,,,,,,,,,,,,,candidate evidence packet; validate before using records
record,PKT-327CD0,,,,,,3,L1,list_action,LST-238CB2A8,final,,,,include,STAOPP-05-74,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L1,list_action,LST-6498760C,final,,,,remove,STAOPP-05-DECOY,STAOPP-05-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-327CD0,,,,,,3,L1,list_action,LST-E13EA2A2,final,,,,include,STAOPP-05-103,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L1,list_action,LST-EA5C9F47,final,,,,include,STAOPP-05-66,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L1,list_action,LST-ED64FB44,final,,,,include,STAOPP-05-51,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L2,list_action,LST-07AE22FC,final,,,,include,CAMERR-05-53,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L2,list_action,LST-3C1230F4,final,,,,include,CAMERR-05-49,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L2,list_action,LST-555AB735,final,,,,include,CAMERR-05-40,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L2,list_action,LST-593F4166,final,,,,remove,CAMERR-05-DECOY,CAMERR-05-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-327CD0,,,,,,3,L2,list_action,LST-82BD91C3,final,,,,include,CAMERR-05-11,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L3,list_action,LST-1DB67635,final,,,,include,ACTITE-05-102,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L3,list_action,LST-79D7788D,final,,,,include,ACTITE-05-47,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L3,list_action,LST-98E77636,final,,,,include,ACTITE-05-39,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L3,list_action,LST-99B493DB,final,,,,include,ACTITE-05-80,,,,,,,,,include unless a later remove or alias targets it
record,PKT-327CD0,,,,,,3,L3,list_action,LST-EB6F5F85,final,,,,remove,ACTITE-05-DECOY,ACTITE-05-DECOY,,,,,,,,remove this candidate if it appears in a lower revision
record,PKT-327CD0,,,,,,3,N1,numeric_delta,NUM-418F6FD1,final,add,4054,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-327CD0,,,,,,3,N1,numeric_delta,NUM-5B82788A,final,add,2209,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-327CD0,,,,,,3,N1,numeric_delta,NUM-86B4C5B4,final,subtract,3271,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-327CD0,,,,,,3,N1,numeric_delta,NUM-997C46FD,final,subtract,4699,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-327CD0,,,,,,3,N1,numeric_delta,NUM-DEB5AFFF,final,add,3569,100,,,,,,,,,,,apply signed amount_minor divided by scale
record,PKT-327CD0,,,,,,3,T1,text_candidate,TXT-3E6EADC2,final,,,,,,,,,,,routine_closeout,57,9,rank by score minus penalty; tie by candidate text
record,PKT-327CD0,,,,,,3,T1,text_candidate,TXT-AD04CB6A,final,,,,,,,,,,,watchlist_review,23,13,rank by score minus penalty; tie by candidate text
record,PKT-327CD0,,,,,,3,T1,text_candidate,TXT-BD3C01CB,final,,,,,,,,,,,exec_escalation,96,6,rank by score minus penalty; tie by candidate text
record,PKT-4216FA,,,,,,2,L1,list_action,NOI-04A9CEA8,draft,,,,include,STAOPP-05-98,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L1,list_action,NOI-5D5201F7,final,,,,include,STAOPP-05-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,L1,list_action,NOI-5D5939FB,draft,,,,include,STAOPP-05-69,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L1,list_action,NOI-7F03FF55,final,,,,include,STAOPP-05-20,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L1,list_action,NOI-9B615184,final,,,,include,STAOPP-05-11,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,L2,list_action,NOI-57686479,draft,,,,include,CAMERR-05-65,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L2,list_action,NOI-5D963C9D,final,,,,include,CAMERR-05-15,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L2,list_action,NOI-62B10CE3,final,,,,include,CAMERR-05-57,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L2,list_action,NOI-D310828D,final,,,,include,CAMERR-05-103,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,L2,list_action,NOI-EDD870CC,draft,,,,include,CAMERR-05-20,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L3,list_action,NOI-13719BA4,final,,,,include,ACTITE-05-22,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L3,list_action,NOI-A719B55E,final,,,,include,ACTITE-05-72,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,L3,list_action,NOI-A9C3EDF6,draft,,,,include,ACTITE-05-105,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,L3,list_action,NOI-B8D62726,final,,,,include,ACTITE-05-85,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,L3,list_action,NOI-CB18F449,draft,,,,include,ACTITE-05-75,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,N1,numeric_delta,NOI-3AC052B5,final,add,6509,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,N1,numeric_delta,NOI-708E1379,draft,add,4933,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,N1,numeric_delta,NOI-81EAACDE,final,add,7603,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,2,N1,numeric_delta,NOI-980BD177,draft,add,6550,100,,,,,,,,,,,decoy from unselected or invalid packet
record,PKT-4216FA,,,,,,1,N1,numeric_delta,NOI-BCC9ADE9,final,add,5593,100,,,,,,,,,,,decoy from unselected or invalid packet
